Narration,TransactionType
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9884406 | 13.48 EURUSD BAER 18 | Nominal amount: 3,659,187.21 |  Maturity: 10.05.2018",Distribution
DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 26013077 | BGF GL M ASSIN A6HD | Quantity: 165000,Distribution
MISCELLANEOUS INCOME,MiscIncome
FOREX SPOT EUR/JPY 131.2960,SpotFxOut
Correction of Cred. Int.,MiscExpense
" REDEMPTION STRUCTURED PRODUCTS Security No: 9883630 | 11.67 USDEUR BAER 18 | Nominal amount: 4,484,314.83 |  Maturity: 07.05.2018",SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security No: 9885986 | 14.02 EURUSD BAER 18 | Nominal amount: 3,638,934.68 | Maturity: 21.05.2018",Purchase
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9883630 | 11.67 USDEUR BAER 18 | Nominal amount: 4,484,314.83 |  Maturity: 07.05.2018",Distribution
"COUPON PAYMENT STRUCTURED PRODUCTS Security No: 9883630 | 11.67 USDEUR BAER 18 | Nominal amount: 4,484,314.83 |  Maturity: 07.05.2018",Distribution
"PURCHASE STRUCTURED PRODUCTS Security No: 9885654 | 14.2 EURUSD BAER 18 | Nominal amount: 1,657,095.03 | Maturity: 18.05.2018",Purchase
FOREX SPOT EUR/JPY 133.1161,SpotFxOut
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9883158 | 10.27 USDEUR BAER 18 | Nominal amount: 2,044,227.45 |  Maturity: 04.05.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883158 | 10.27 USDEUR BAER 18 | Nominal amount: 2,044,227.45 |  Maturity: 04.05.2018",SpotFxIn
"COUPON PAYMENT STRUCTURED PRODUCTS Security No: 9883158 | 10.27 USDEUR BAER 18 | Nominal amount: 2,044,227.45 |  Maturity: 04.05.2018",Distribution
FOREX SPOT EUR/JPY 132.2879,SpotFxOut
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9883156 | 8.94 EURUSD BAER 18 | Nominal amount: 3,640,554.40 |  Maturity: 04.05.2018",Distribution
"COUPON PAYMENT STRUCTURED PRODUCTS Security No: 9883157 | 10.27 USDEUR BAER 18 | Nominal amount: 3,618,513.64 |  Maturity: 04.05.2018",Distribution
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9883157 | 10.27 USDEUR BAER 18 | Nominal amount: 3,618,513.64 |  Maturity: 04.05.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883156 | 8.94 EURUSD BAER 18 | Nominal amount: 3,640,554.40 |  Maturity: 04.05.2018",SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security No: 9885653 | 14.16 EURUSD BAER 18 | Nominal amount: 2,933,719.11 | Maturity: 18.05.2018",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883157 | 10.27 USDEUR BAER 18 | Nominal amount: 3,618,513.64 |  Maturity: 04.05.2018",SpotFxIn
Interest,MiscExpense
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091MGQ31|Interest rate: 2.750000%|Capital: 883,686.87|Period: 13.04.2018 - 11.05.2018|Days: 28/360",LoanCost
REDEMPTION INVESTMENT FUNDS Security No: 21966706 | SISF AS DIV MAX AD | Quantity: 29000,Sale
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091DDLR2|Interest rate: 2.740000%|Capital: 994,880.79|Period: 13.04.2018 - 11.05.2018|Days: 28/360",LoanCost
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA1809149SLV|Interest rate: 2.750000%|Capital: 868,650.68|Period: 13.04.2018 - 11.05.2018|Days: 28/360",LoanCost
"ROLLOVER FIXED TERM LOAN-CAPITAL AMENDMENT Contract No: 3001-AA18091RXK3G|New Capital: 1,040,063.45",LoanRepay
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091RXK3G|Interest rate: 2.750000%|Capital: 1,057,749.19|Period: 09.04.2018 - 09.05.2018|Days: 30/360",LoanCost
"DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 19814968 | AB I EM MUL AS AD | Quantity: 36,000.00",Distribution
DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 21966706 | SISF AS DIV MAX AD | Quantity: 69600,Distribution
DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 18762448 | BGF GL M ASSIN A6D | Quantity: 100000,Distribution
"DIVIDEND PAYMENT SHARES Security No: 2975896 | ISH SP US PRFST | Quantity: 95,500.00",Distribution
"DIVIDEND PAYMENT SHARES Security No: 2975896 | ISH SP US PRFST | Quantity: 95,500.00",Contribution
DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 18564323 | NOM US HIG-USD-D- | Quantity: 25800,Distribution
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091M41RB|Interest rate: 2.740000%|Capital: 10,000,000.00|Period: 06.04.2018 - 04.05.2018|Days: 28/360",LoanCost
DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 18553502 | NB HGH YLD USD-A- | Quantity: 96000,Distribution
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA180918PKCH|Interest rate: 1.210000%|Capital: 338,188.36|Period: 09.04.2018 - 09.05.2018|Days: 30/365",LoanCost
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA180914XWNF|Interest rate: 1.210000%|Capital: 727,464.21|Period: 09.04.2018 - 09.05.2018|Days: 30/365",LoanCost
"ROLLOVER FIXED TERM LOAN-CAPITAL AMENDMENT Contract No: 3001-AA180918PKCH|New Capital: 338,188.36 ** Account Balance as on 15.05.2018 ** ** Available Balance as on 15.05.2018 **",LoanCost
"ROLLOVER FIXED TERM LOAN-CAPITAL AMENDMENT Contract No: 3001-AA180914XWNF|New Capital: 721,007.82",LoanCost
"DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 18329908 | POL INC GBP-RET-A1- | Quantity: 240,000.00",Distribution
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091NL9XG|Interest rate: 0.810000%|Capital: 500,000,000.00|Period: 02.05.2018 - 15.05.2018|Days: 13/360 ** Account Balance as on 15.05.2018 ** ** Available Balance as on 15.05.2018 **",LoanCost
FOREX SPOT EUR/JPY 130.1898,SpotFxIn
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091RSG5N|Interest rate: 0.810000%|Capital: 1,000,000,000.00|Period: 01.05.2018 - 14.05.2018|Days: 13/360",LoanCost
FOREX SPOT EUR/JPY 129.6947,SpotFxIn
FOREX SPOT EUR/JPY 129.6910,SpotFxIn
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091ZN72C|Interest rate: 0.810000%|Capital: 1,000,000,000.00|Period: 27.04.2018 - 11.05.2018|Days: 14/360 Carried forward",LoanCost
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA1809166QNF|Interest rate: 0.810000%|Capital: 1,000,000,000.00|Period: 27.04.2018 - 11.05.2018|Days: 14/360",LoanCost
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091NTT8N|Interest rate: 0.810000%|Capital: 500,000,000.00|Period: 23.04.2018 - 07.05.2018|Days: 14/360",LoanCost
FOREX SPOT EUR/JPY 131.2960,SpotFxIn
FOREX SPOT EUR/JPY 132.2879,SpotFxIn
FOREX SPOT EUR/JPY 133.1161,SpotFxIn
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091NL9XG|Interest rate: 0.810000%|Capital: 500,000,000.00|Period: 10.04.2018 - 02.05.2018|Days: 22/360",LoanCost
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091RSG5N|Interest rate: 0.810000%|Capital: 1,000,000,000.00|Period: 16.04.2018 - 01.05.2018|Days: 15/360",LoanCost
ROLLOVER FIXED ADVANCES CONTRACT 3001-AA18091NL9XG,LoanCreate
ROLLOVER FIXED ADVANCES CONTRACT 3001-AA18091NL9XG,LoanRepay
ROLLOVER FIXED ADVANCES CONTRACT 3001-AA18091RSG5N,LoanCreate
ROLLOVER FIXED ADVANCES CONTRACT 3001-AA18091RSG5N,LoanRepay
FOREX SPOT SPOT TRANSACTION FX CONTRACTS TXN Ref: 11347931.13901523-1,Purchase
FOREX SPOT SPOT TRANSACTION FX CONTRACTS TXN Ref: 11325238.13874895-1,Purchase
FOREX SPOT SPOT TRANSACTION FX CONTRACTS TXN Ref: 11347931.13901523-1,Sale
FOREX SPOT SPOT TRANSACTION FX CONTRACTS TXN Ref: 11325238.13874895-1,Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9881207 | 7.81 EURUSD BAER 18 | Nominal amount: 3,635,933.77 | Maturity: 23.04.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9881207 | 7.81 EURUSD BAER 18 | Nominal amount: 3,635,933.77 | Maturity: 23.04.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882489 | 10.36 USDEUR BAER 18 | Nominal amount: 4,548,695.92 |  Maturity: 30.04.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882489 | 10.36 USDEUR BAER 18 | Nominal amount: 4,548,695.92 |  Maturity: 30.04.2018",Sale
FIXED ADVANCES CONTRACT 402-0880174,LoanRepay
Rollover from FIXED ADVANCES CONTRACT 402-0878609 to FIXED ADVANCES CONTRACT 3001-AA18091Q5KYB,Reinvestment
Rollover from FIXED ADVANCES CONTRACT 402-0874612 to FIXED ADVANCES CONTRACT 3001-AA18091S9Q4Z,Reinvestment
Rollover from FIXED ADVANCES CONTRACT 402-0873234 to FIXED ADVANCES CONTRACT 3001-AA180916GYGL,Reinvestment
Rollover from FIXED ADVANCES CONTRACT 402-0870298 to FIXED ADVANCES CONTRACT 3001-AA18091RXK3G,Reinvestment
"DIVIDEND PAYMENT INVESTMENT FUND Security nr . 11928659 | UNITS INVESTEC GLB STRATEGY FD SICAV| Quantity:34,000.00",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882168 | 10.57 USDEUR BAER 18 | Nominal amount: 9,029,238.42 | Maturity: 27.04.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882167 | 10.08 USDEUR BAER 18 | Nominal amount: 9,075,656.42 | Maturity: 27.04.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882168 | 10.57 USDEUR BAER 18 | Nominal amount: 9,029,238.42 | Maturity: 27.04.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882167 | 10.08 USDEUR BAER 18 | Nominal amount: 9,075,656.42 | Maturity: 27.04.2018",SpotFxOut
FIXED ADVANCES CONTRACT 3001-AA18091996VP,Reinvestment
FIXED ADVANCES CONTRACT 3001-AA180914XWNF,Reinvestment
FIXED ADVANCES CONTRACT 3001-AA180918PKCH,Reinvestment
FIXED ADVANCES CONTRACT 402-0877336,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091996VP,LoanCreate
FIXED ADVANCES CONTRACT 402-0870291,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA180918PKCH,LoanCreate
FIXED ADVANCES CONTRACT 402-0870294,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA180914XWNF,LoanCreate
FIXED ADVANCES CONTRACT 3001-AA18091Q5KYB,LoanCreate
FIXED ADVANCES CONTRACT 402-0878609,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091Y8MWH,LoanCreate
FIXED ADVANCES CONTRACT 3001-AA18091Y8MWH,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA180914TG52,LoanCreate
FIXED ADVANCES CONTRACT 402-0874612,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091S9Q4Z,LoanCreate
FIXED ADVANCES CONTRACT 402-0873236,LoanRepay
Interest,MiscExpense
"PURCHASE STRUCTURED PRODUCTS Security No: 9885212 | 1.92 EURUSD BAER 18 | Nominal amount: 3,702,383.21 | Maturity: 15.05.2018",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security No: 9881448 | 3.92 EURUSD BAER 18 | Nominal amount: 3,695,401.59 |  Maturity: 02.05.2018",Sale
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9881448 | 3.92 EURUSD BAER 18 | Nominal amount: 3,695,401.59 |  Maturity: 02.05.2018",Distribution
FOREX SPOT EUR/JPY 133.1333,SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882488 | 6.81 EURUSD BAER 18 | Nominal amount: 7,376,960.43 |  Maturity: 30.04.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882489 | 10.36 USDEUR BAER 18 | Nominal amount: 4,548,695.92 |  Maturity: 30.04.2018",SpotFxIn
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9882488 | 6.81 EURUSD BAER 18 | Nominal amount: 7,376,960.43 |  Maturity: 30.04.2018",Distribution
"PURCHASE STRUCTURED PRODUCTS Security No: 9884928 | 3.5 EURUSD BAER 18 | Nominal amount: 7,393,961.70 | Maturity: 14.05.2018",Purchase
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9882489 | 10.36 USDEUR BAER 18 | Nominal amount: 4,548,695.92 |  Maturity: 30.04.2018",Distribution
"COUPON PAYMENT STRUCTURED PRODUCTS Security No: 9882489 | 10.36 USDEUR BAER 18 | Nominal amount: 4,548,695.92 |  Maturity: 30.04.2018",Distribution
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9882168 | 10.57 USDEUR BAER 18 | Nominal amount: 9,029,238.42 |  Maturity: 27.04.2018",Distribution
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9882167 | 10.08 USDEUR BAER 18 | Nominal amount: 9,075,656.42 |  Maturity: 27.04.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882167 | 10.08 USDEUR BAER 18 | Nominal amount: 9,075,656.42 |  Maturity: 27.04.2018",SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security No: 9884640 | 2.89 EURUSD BAER 18 | Nominal amount: 7,323,980.30 | Maturity: 11.05.2018",Purchase
"COUPON PAYMENT STRUCTURED PRODUCTS Security No: 9882167 | 10.08 USDEUR BAER 18 | Nominal amount: 9,075,656.42 |  Maturity: 27.04.2018",Distribution
"COUPON PAYMENT STRUCTURED PRODUCTS Security No: 9882168 | 10.57 USDEUR BAER 18 | Nominal amount: 9,029,238.42 |  Maturity: 27.04.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9882168 | 10.57 USDEUR BAER 18 | Nominal amount: 9,029,238.42 |  Maturity: 27.04.2018",SpotFxIn
"URCHASE STRUCTURED PRODUCTS Security No: 9884641 | 2.89 EURUSD BAER 18 | Nominal amount: 7,363,223.11 | Maturity: 11.05.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security No: 9884412 | 1.64 EURUSD BAER 18 | Nominal amount: 3,643,065.29 | Maturity: 17.05.2018",Purchase
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9880685 | 9.94 EURUSD BAER 18 | Nominal amount: 3,638,092.34 | Maturity: 26.04.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9880685 | 9.94 EURUSD BAER 18 | Nominal amount: 3,638,092.34 | Maturity: 26.04.2018",Sale
"PURCHASE STRUCTURED PRODUCTS Security No: 9884406 | 13.48 EURUSD BAER 18 | Nominal amount: 3,659,187.21 | Maturity: 10.05.2018",Purchase
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9881868 | 2.39 EURUSD BAER 18 | Nominal amount: 3,640,866.68 | Maturity: 26.04.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9881868 | 2.39 EURUSD BAER 18 | Nominal amount: 3,640,866.68 | Maturity: 26.04.2018",Sale
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091Y8MWH|Interest rate: 0.610000%|Capital: 2,325,412.34|Period: 23.03.2018 - 20.04.2018|Days: 28/360",LoanCost
FOREX SPOT USD/EUR 1.2389,SpotFxIn
FOREX SPOT EUR/JPY 133.1699,SpotFxOut
FOREX SPOT EUR/JPY 132.8699,SpotFxOut
"ROLLOVER FIXED TERM LOAN-CAPITAL AMENDMENT Contract No: 3001-AA18091K8Y76|New Capital: 1,022,308.07 (-10,740.83)",LoanCost
"ROLLOVER FIXED TERM LOAN-CAPITAL AMENDMENT Contract No: 3001-AA18091K8Y76|New Capital: 1,022,308.07 (-10,740.83)",LoanRepay
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091K8Y76|Interest rate: 2.640000%|Capital: 1,030,972.06|Period: 13.04.2018 - 27.04.2018|Days: 14/360",LoanCost
"COUPON PAYMENT BONDS Security No: 38799626 | 7.5 OIL 27 MTN-S | Quantity: 1,000,000.00",Distribution
"COUPON PAYMENT BONDS Security No: 36455012 | 6.375 OXLEY MT21BDS | Quantity: 1,000,000.00",Distribution
FOREX SPOT USD/JPY 107.3788,SpotFxOut
FIXED ADVANCES CONTRACT 3001-AA18091893RM,LoanCreate
FIXED ADVANCES CONTRACT 3001-AA180910PN8V,LoanCreate
FIXED ADVANCES CONTRACT 402-0877332,LoanRepay
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA180910PN8V|Interest rate: 2.590000%|Capital: 4,344,493.77|Period: 13.04.2018 - 20.04.2018|Days: 7/360",LoanCost
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091893RM|Interest rate: 2.690000%|Capital: 1,747,062.22|Period: 23.03.2018 - 20.04.2018|Days: 28/360",LoanCost
FIXED ADVANCES CONTRACT 402-0877337,LoanRepay
"ROLLOVER FIXED TERM LOAN-CAPITAL AMENDMENT Contract No: 3001-AA180910PN8V|New Capital: 4,344,493.77",LoanCost
FIXED ADVANCES CONTRACT 3001-AA18091GRYCS,LoanCreate
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091GRYCS|Interest rate: 2.690000%|Capital: 2,634,363.51|Period: 23.03.2018 - 20.04.2018|Days: 28/360",LoanCost
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9881207 | 7.81 EURUSD BAER 18 | Nominal amount: 3,635,933.77 | Maturity: 23.04.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883630 | 11.67 USDEUR BAER 18 | Nominal amount: 4,484,314.83 |  Maturity: 07.05.2018",Sale
"DIVIDEND PAYMENT INVESTMENT FUNDS Security No: 14832683 | CUL NRT USD-RTL-A1- | Quantity: 67,000.00",Distribution
FOREX SPOT USD/EUR 1.2389,SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9881207 | 7.81 EURUSD BAER 18 | Nominal amount: 3,635,933.77 | Maturity: 23.04.2018",SpotFxIn
FIXED ADVANCES CONTRACT 402-0873237,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA1809149SLV,LoanCreate
FIXED ADVANCES CONTRACT 3001-AA18091K8Y76,LoanCreate
FIXED ADVANCES CONTRACT 3001-AA180916GYGL,LoanCreate
FIXED ADVANCES CONTRACT 3001-AA18091MGQ31,LoanCreate
FIXED ADVANCES CONTRACT 402-0873234,LoanRepay
FIXED ADVANCES CONTRACT 402-0875004,LoanRepay
FIXED ADVANCES CONTRACT 402-0874609,LoanRepay
FIXED ADVANCES CONTRACT 402-0874610,LoanRepay
FIXED ADVANCES CONTRACT 402-0874611,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091DDLR2,LoanCreate
FIXED ADVANCES CONTRACT 402-0870298,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091RXK3G,LoanCreate
FIXED ADVANCES CONTRACT 3001-AA18091M41RB,LoanCreate
FIXED ADVANCES CONTRACT 402-0869247,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091NL9XG,LoanCreate
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA1809166QNF|Interest rate: 0.810000%|Capital: 1,000,000,000.00|Period: 13.04.2018 - 27.04.2018|Days: 14/360",LoanCost
FOREX SPOT EUR/JPY 133.1333,SpotFxIn
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091ZN72C|Interest rate: 0.810000%|Capital: 1,000,000,000.00|Period: 13.04.2018 - 27.04.2018|Days: 14/360",LoanCost
FOREX SPOT EUR/JPY 133.1699,SpotFxIn
MISCELLANEOUS INCOME,MiscIncome
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA180916J65F|Interest rate: 0.810000%|Capital: 500,000,000.00|Period: 12.04.2018 - 26.04.2018|Days: 14/360",LoanCost
FOREX SPOT EUR/JPY 132.8699,SpotFxIn
GST ON MISCELLANEOUS INCOME,MiscIncome
FOREX SPOT USD/JPY 107.3788,SpotFxIn
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA18091NTT8N|Interest rate: 0.810000%|Capital: 500,000,000.00|Period: 09.04.2018 - 23.04.2018|Days: 14/360",LoanCost
CUSTODY FEE,MiscExpense
GST ON CUSTODY FEE,MiscExpense
GST ON MISCELLANEOUS INCOME,MiscIncome
MISCELLANEOUS INCOME,MiscIncome
FIXED ADVANCES CONTRACT 402-0879330,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091RSG5N,LoanCreate
FIXED ADVANCES CONTRACT 402-0879690,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA180916J65F,LoanCreate
FIXED ADVANCES CONTRACT 402-0881487,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091NTT8N,LoanCreate
FIXED ADVANCES CONTRACT 402-0878443,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA1809166QNF,LoanCreate
FIXED ADVANCES CONTRACT 402-0874796,LoanRepay
FIXED ADVANCES CONTRACT 3001-AA18091ZN72C,LoanCreate
"REDEMPTION  STRUCTURED PRODUCTS Security No: 9880688 | 11.24 EURUSD BAER 18 | Nominalamount: 1,652,054.22| Maturity: 19.04.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9974020 | 11.63 USDEUR BAER 18 | Nominalamount: 4,539,596.74 | Maturity: 10.04.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9881006 | 3.05 EURUSD BAER 18 | Nominalamount: 7,342,572.17 | Maturity: 13.04.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9880398 | 12.81 EURUSD BAER 18 | Nominal amount: 3,670,466.43 |  Maturity: 16.04.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9881019 | 4.16 EURUSD BAER 18 | Nominalamount: 7,309,365.04 | Maturity: 13.04.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security No: 9880686| 10.1 EURUSD BAER 18 | Nominalamount: 3,643,663.23| Maturity: 19.04.2018",SpotFxOut
"REDEMPTION  STRUCTURED PRODUCTS Security No: 9880687 | 12.22 EURUSD BAER 18 | Nominalamount: 2,925,350.49 |Maturity: 19.04.2018",SpotFxOut
"PURCHASE STRUCTURED PRODUCTS Security No: 9883157 | 10.27 USDEUR BAER 18 | Nominal amount: 3,618,513.64 | Maturity: 04.05.2018",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883158 | 10.27 USDEUR BAER 18 | Nominal amount: 2,044,227.45 |  Maturity: 04.05.2018",Sale
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9880686 | 10.1 EURUSD BAER 18 | Nominal amount: 3,643,663.23 |  Maturity: 19.04.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9880686 | 10.1 EURUSD BAER 18 | Nominal amount: 3,643,663.23 |  Maturity: 19.04.2018",SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security No: 9880688 | 11.24 EURUSD BAER 18 | Nominal amount: 1,652,054.22 |  Maturity: 19.04.2018",SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security No: 9880687 | 12.22 EURUSD BAER 18 | Nominal amount: 2,925,350.49 |  Maturity: 19.04.2018",SpotFxIn
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9880687 | 12.22 EURUSD BAER 18 | Nominal amount: 2,925,350.49 |  Maturity: 19.04.2018",Distribution
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9880688 | 11.24 EURUSD BAER 18 | Nominal amount: 1,652,054.22 |  Maturity: 19.04.2018",Distribution
