Longfor Properties Co Ltd 3.875% AO2618715 (3.0%)(13.07.2022),,"200,000.00","USD99.88 199,767.01",1.1%,USD96.9300,"193,860.00",1.0%,0.00,"(5,907.01) (5,907.01)",,
Moon Wise Global Ltd 9.00% (Call: EK0359175 (0.3%)28.01.2019),,"400,000.00","USD105.56 412,633.00",2.2%,USD102.8300,"411,320.00",2.2%,0.00,"(1,313.00) (1,313.00)",,
Base Currency: USD,,,,,,,,,,
"",Cost,Total,%,Market,Market,%,,Unrealised Gain / (Loss),,
Stock Code Security Description Total Holdings,,,,,,,,,,
"",Per Unit,Book Value,BV,Price,Value,MV,Fx,Price Total,,%BV
TOTAL REAL ESTATE,,"612,400.01",3.2%,,"605,180.00",3.3%,0.00,"(7,220.01) (7,220.01)",,
UTILITIES,,,,,,,,,,
"Enn Energy Holdings Ltd 3.25% AO2963293 (3.5%)(24.07.2022)500,000.00",USD99.87,"499,414.01",2.6%,USD96.3700,"481,850.00",2.6%,0.00,"(17,564.01) (17,564.01)",,
TOTAL UTILITIES,,"499,414.01",2.6%,,"481,850.00",2.6%,0.00,"(17,564.01) (17,564.01)",,
TOTAL CHINA,,"4,420,996.34",23.3%,,"4,302,746.60",23.2%,"(5,778.86)","(112,470.89) (118,249.75)",,
HONG KONG,,,,,,,,,,
BANKS,,,,,,,,,,
"Dah Sing Bank Ltd 4.25% (Call: AL2762741 (2.9%)30.11.2021)400,000.00",USD102.88,"409,622.77",2.2%,USD99.4100,"397,640.00",2.1%,0.00,"(11,982.77) (11,982.77)",,
"Wing Lung Bank Ltd 4.793% (Call: EJ4121962 0.0%07.05.2018)1,250,000.00",USD100.20,"1,250,168.26",6.6%,USD100.0100,"1,250,125.00",6.7%,0.00,(43.26) (43.26),,
TOTAL BANKS,,"1,659,791.03",8.8%,,"1,647,765.00",8.9%,0.00,"(12,026.03) (12,026.03)",,
CONSUMER SERVICES,,,,,,,,,,
"EJ3968215 LS Finance Ltd 4.25% (16.10.2022) 200,000.00",USD97.00,"194,080.99",1.0%,USD95.8000,"191,600.00",1.0%,0.00,"(2,480.99) (2,480.99)",,(1.3%)
"EK9908196 LS Finance Ltd 4.5% (26.06.2025) 700,000.00",USD98.59,"690,871.36",3.6%,USD91.3000,"639,100.00",3.4%,0.00,"(51,771.36) (51,771.36)",,(7.5%)
TOTAL CONSUMER SERVICES,,"884,952.35",4.7%,,"830,700.00",4.5%,0.00,"(54,252.35) (54,252.35)",,
FINANCIAL SERVICES,,,,,,,,,,
"Nanyang Commercial Bank Ltd 5% AN7077414 (4.0%)(Call: 02.06.2022)200,000.00",USD99.80,"199,657.32",1.1%,USD95.8500,"191,700.00",1.0%,0.00,"(7,957.32) (7,957.32)",,
TOTAL FINANCIAL SERVICES,,"199,657.32",1.1%,,"191,700.00",1.0%,0.00,"(7,957.32) (7,957.32)",,
INDUSTRIALS,,,,,,,,,,
"CK Hutchison Capital Sec17 Ltd 4% AN5475594 (2.4%)(Call: 12.05.2022)250,000.00",USD100.00,"250,000.00",1.3%,USD97.5700,"243,925.00",1.3%,0.00,"(6,075.00) (6,075.00)",,
TOTAL INDUSTRIALS,,"250,000.00",1.3%,,"243,925.00",1.3%,0.00,"(6,075.00) (6,075.00)",,
REAL ESTATE,,,,,,,,,,
"NWD Finance BVI Ltd 5.75% (Call: QZ6974914 (8.8%)05.10.2021)300,000.00",USD99.99,"299,984.18",1.6%,USD91.2400,"273,720.00",1.5%,0.00,"(26,264.18) (26,264.18)",,
"",,,Cost Total,%,Market,Market,%,,Unrealised Gain / (Loss),,
Stock Code Security Description,,Total Holdings,,,,,,,,,
"",,,Per Unit Book Value,BV,Price,Value,MV,Fx,Price Total,,%BV
Sun Hung Kai Properties Cap Mk AN6294184 (12.2%)4.45% (Call: 23.05.2020),,"350,000.00","USD100.00 350,000.00",1.8%,USD87.7800,"307,230.00",1.7%,0.00,"(42,770.00) (42,770.00)",,
TOTAL REAL ESTATE,,,"649,984.18",3.4%,,"580,950.00",3.1%,0.00,"(69,034.18) (69,034.18)",,
TELECOMMUNICATIONS,,,,,,,,,,,
SmarTone Finance Ltd 3.875% EJ6043818 (2.0%)(08.04.2023),,"600,000.00","USD100.39 602,135.38",3.2%,USD98.3600,"590,160.00",3.2%,0.00,"(11,975.38) (11,975.38)",,
TOTAL TELECOMMUNICATIONS,,,"602,135.38",3.2%,,"590,160.00",3.2%,0.00,"(11,975.38) (11,975.38)",,
TOTAL HONG KONG,,,"4,246,520.26",22.4%,,"4,085,200.00",22.0%,0.00,"(161,320.26) (161,320.26)",,
INDONESIA,,,,,,,,,,,
FINANCIAL SERVICES,,,,,,,,,,,
Minejesa Capital BV 4.625% AO6253790 (5.0%)(10.08.2030),,"200,000.00","USD100.00 200,000.00",1.1%,USD94.9700,"189,940.00",1.0%,0.00,"(10,060.00) (10,060.00)",,
TOTAL FINANCIAL SERVICES,,,"200,000.00",1.1%,,"189,940.00",1.0%,0.00,"(10,060.00) (10,060.00)",,
REAL ESTATE,,,,,,,,,,,
Ciputra Development Tbk PT 4.85% AO0070349 1.2%(20.09.2021),,"750,000.00","SGD100.00 557,549.25",2.9%,SGD99.7600,"564,507.55",3.0%,"8,316.38","(1,358.08) 6,958.30",,
Pakuwon Prima Pte Ltd 5% (Call: AM4374824 (5.4%)14.02.2021),,"200,000.00","USD98.13 198,579.63",1.0%,USD93.9300,"187,860.00",1.0%,0.00,"(10,719.63) (10,719.63)",,
TOTAL REAL ESTATE,,,"756,128.88",4.0%,,"752,367.55",4.0%,"8,316.38","(12,077.71) (3,761.33)",,
UTILITIES,,,,,,,,,,,
Saka Energi Indonesia PT 4.45% AN2611142 (2.8%)(05.05.2024),,"650,000.00","USD99.78 648,301.54",3.4%,USD96.9300,"630,045.00",3.4%,0.00,"(18,256.54) (18,256.54)",,
TOTAL UTILITIES,,,"648,301.54",3.4%,,"630,045.00",3.4%,0.00,"(18,256.54) (18,256.54)",,
TOTAL INDONESIA,,,"1,604,430.42",8.5%,,"1,572,352.55",8.5%,"8,316.38","(40,394.25) (32,077.87)",,
"",,,Cost Total,%,Market,Market,%,,Unrealised Gain / (Loss),,
Stock Code Security Description,,Total Holdings,,,,,,,,,
"",,,Per Unit Book Value,BV,Price,Value,MV,Fx,Price Total,,%BV
MALAYSIA,,,,,,,,,,,
BASIC MATERIALS,,,,,,,,,,,
Press Metal Labuan Ltd 4.8% (Call: AP7037652 (3.4%)30.10.2020),,"200,000.00","USD99.15 198,715.54",1.0%,USD96.0000,"192,000.00",1.0%,0.00,"(6,715.54) (6,715.54)",,
TOTAL BASIC MATERIALS,,,"198,715.54",1.0%,,"192,000.00",1.0%,0.00,"(6,715.54) (6,715.54)",,
INDUSTRIALS,,,,,,,,,,,
Yinson TMC Sdn Bhd 7.00% (Call: UV9163949 (0.1%)25.09.2020),,"1,000,000.00","USD100.05 1,000,516.09",5.3%,USD100.0000,"1,000,000.00",5.4%,0.00,(516.09) (516.09),,
TOTAL INDUSTRIALS,,,"1,000,516.09",5.3%,,"1,000,000.00",5.4%,0.00,(516.09) (516.09),,
TOTAL MALAYSIA,,,"1,199,231.63",6.3%,,"1,192,000.00",6.4%,0.00,"(7,231.63) (7,231.63)",,
PHILIPPINES,,,,,,,,,,,
OIL & GAS,,,,,,,,,,,
AQ6873634 Petron Corp 4.6% (Call: 19.07.2023),,"500,000.00","USD100.00 500,000.00",2.6%,USD95.1400,"475,700.00",2.6%,0.00,"(24,300.00) (24,300.00)",,(4.9%)
TOTAL OIL & GAS,,,"500,000.00",2.6%,,"475,700.00",2.6%,0.00,"(24,300.00) (24,300.00)",,
TOTAL PHILIPPINES,,,"500,000.00",2.6%,,"475,700.00",2.6%,0.00,"(24,300.00) (24,300.00)",,
QATAR,,,,,,,,,,,
BANKS,,,,,,,,,,,
QJ2237015 QIB Sukuk Ltd 2.754% (27.10.2020),,"400,000.00","USD98.07 393,638.13",2.1%,USD97.2800,"389,119.99",2.1%,0.00,"(4,518.14) (4,518.14)",,(1.1%)
TOTAL BANKS,,,"393,638.13",2.1%,,"389,119.99",2.1%,0.00,"(4,518.14) (4,518.14)",,
TOTAL QATAR,,,"393,638.13",2.1%,,"389,119.99",2.1%,0.00,"(4,518.14) (4,518.14)",,
SINGAPORE,,,,,,,,,,,
BANKS,,,,,,,,,,,
DBS Capital Funding II Corp 5.75% EH3700794 (0.9%)(Call: 15.06.2018),,"1,000,000.00","SGD100.65 765,066.37",4.0%,SGD100.5000,"758,259.94",4.1%,"(7,543.72)","737.29 (6,806.43)",,
United Overseas Bank Ltd 3.875% AP5359645 (2.8%)(Call: 19.10.2023),,"600,000.00","USD97.32 584,133.82",3.1%,USD94.6500,"567,900.00",3.1%,0.00,"(16,233.82) (16,233.82)",,
"",,,Cost Total,%,Market,Market,%,,Unrealised Gain / (Loss),,
Stock Code Security Description,,Total Holdings,,,,,,,,,
"",,,Per Unit Book Value,BV,Price,Value,MV,Fx,Price Total,,%BV
TOTAL BANKS,,,"1,349,200.19",7.1%,,"1,326,159.94",7.1%,"(7,543.72)","(15,496.53) (23,040.25)",,
HEALTH CARE,,,,,,,,,,,
Parkway Pantai Ltd 4.25% (Call: AO3597850 (3.4%)27.07.2022),,"400,000.00","USD100.00 400,000.00",2.1%,USD96.6100,"386,440.00",2.1%,0.00,"(13,560.00) (13,560.00)",,
TOTAL HEALTH CARE,,,"400,000.00",2.1%,,"386,440.00",2.1%,0.00,"(13,560.00) (13,560.00)",,
REAL ESTATE,,,,,,,,,,,
GLL IHT Pte Ltd 4.6% (Call: AQ7825500 (1.4%)23.01.2023),,"250,000.00","SGD99.75 188,466.53",1.0%,SGD98.5200,"185,830.27",1.0%,(305.62),"(2,330.63) (2,636.25)",,
Yanlord Land HK Co Ltd  5.875% (Call: AM1710293 (0.9%)23.1.2020),,"500,000.00","USD100.28 501,009.38",2.6%,USD99.3500,"496,750.00",2.7%,0.00,"(4,259.38) (4,259.38)",,
TOTAL REAL ESTATE,,,"689,475.91",3.6%,,"682,580.27",3.7%,(305.62),"(6,590.01) (6,895.63)",,
UTILITIES,,,,,,,,,,,
CITIC Envirotech Ltd 3.9% (Call: AP5359785 0.4%19.10.2020),,"250,000.00","SGD100.20 184,683.11",1.0%,SGD98.2800,"185,377.58",1.0%,"4,249.88","(3,555.41) 694.47",,
TOTAL UTILITIES,,,"184,683.11",1.0%,,"185,377.58",1.0%,"4,249.88","(3,555.41) 694.47",,
TOTAL SINGAPORE,,,"2,623,359.21",13.8%,,"2,580,557.79",13.9%,"(3,599.46)","(39,201.95) (42,801.41)",,
SOUTH KOREA,,,,,,,,,,,
BANKS,,,,,,,,,,,
Woori Bank Co Ltd 4.5% (Call: QZ6247188 (1.7%)27.09.2021),,"700,000.00","USD99.05 693,654.00",3.7%,USD97.3800,"681,660.00",3.7%,0.00,"(11,994.00) (11,994.00)",,
TOTAL BANKS,,,"693,654.00",3.7%,,"681,660.00",3.7%,0.00,"(11,994.00) (11,994.00)",,
INSURANCE,,,,,,,,,,,
Korean Reinsurance Co 4.50% (Call: EK5237418 (0.7%)21.10.2019),,"500,000.00","USD101.35 504,754.05",2.7%,USD100.2800,"501,400.00",2.7%,0.00,"(3,354.05) (3,354.05)",,
TOTAL INSURANCE,,,"504,754.05",2.7%,,"501,400.00",2.7%,0.00,"(3,354.05) (3,354.05)",,
TOTAL SOUTH KOREA,,,"1,198,408.05",6.3%,,"1,183,060.00",6.4%,0.00,"(15,348.05) (15,348.05)",,
"",,,Cost Total,%,Market,Market,%,,Unrealised Gain / (Loss),,
Stock Code Security Description,,Total Holdings,,,,,,,,,
"",,,Per Unit Book Value,BV,Price,Value,MV,Fx,Price Total,,%BV
THAILAND,,,,,,,,,,,
OIL & GAS,,,,,,,,,,,
PTT Exploration & Production 4.875% EK3299188 (0.2%)(Call: 18.06.2019),,"1,000,000.00","USD101.11 1,008,418.05",5.3%,USD100.6800,"1,006,800.00",5.4%,0.00,"(1,618.05) (1,618.05)",,
TOTAL OIL & GAS,,,"1,008,418.05",5.3%,,"1,006,800.00",5.4%,0.00,"(1,618.05) (1,618.05)",,
TOTAL THAILAND,,,"1,008,418.05",5.3%,,"1,006,800.00",5.4%,0.00,"(1,618.05) (1,618.05)",,
UNITED ARAB EMIRATES,,,,,,,,,,,
REAL ESTATE,,,,,,,,,,,
EK3181816 EMG Sukuk Ltd 4.564% (18.06.2024),,"500,000.00","USD104.30 519,481.62",2.7%,USD101.2700,"506,350.00",2.7%,0.00,"(13,131.62) (13,131.62)",,(2.5%)
TOTAL REAL ESTATE,,,"519,481.62",2.7%,,"506,350.00",2.7%,0.00,"(13,131.62) (13,131.62)",,
TOTAL UNITED ARAB EMIRATES,,,"519,481.62",2.7%,,"506,350.00",2.7%,0.00,"(13,131.62) (13,131.62)",,
UNITED KINGDOM,,,,,,,,,,,
BANKS,,,,,,,,,,,
HSBC Holdings PLC 4.7% (Call: AN8215914 6.7%08.06.2022),,"500,000.00","SGD100.00 361,379.50",1.9%,SGD102.2200,"385,618.56",2.1%,"15,864.25","8,374.81 24,239.06",,
TOTAL BANKS,,,"361,379.50",1.9%,,"385,618.56",2.1%,"15,864.25","8,374.81 24,239.06",,
TOTAL UNITED KINGDOM,,,"361,379.50",1.9%,,"385,618.56",2.1%,"15,864.25","8,374.81 24,239.06",,
TOTAL DEBT SECURITIES,,,"18,075,863.21",95.3%,,"17,679,505.49",95.1%,"14,802.31","(411,160.03) (396,357.72)",,
TOTAL INVESTMENT HOLDINGS,,,"18,075,863.21",95.3%,,"17,679,505.49",95.1%,"14,802.31","(411,160.03) (396,357.72)",,
Transaction No.,Counterparty,Buy Ccy,Trade Date,Settlement,Buy Amt,Contract,Cost,Current,Market Value,Unrealised
"",,Sell Ccy,,Date,Sell Amt,Rate,,Rate,,Gain/(Loss)
2291022 L,Affin Hwang Investment Bank,USD,30-Mar-2018,20-Jun-2018,"763,650.25",1.0000,"763,650.25",1.0000,"763,650.25",0.00
2291022 S,Affin Hwang Investment Bank,SGD,30-Mar-2018,20-Jun-2018,"1,000,000.00",0.7637,"(763,650.25)",0.7577,"(757,671.85)","5,978.40"
2304227 L,Affin Hwang Investment Bank,USD,18-Apr-2018,01-Jun-2018,"322,140.00",1.0000,"322,140.00",1.0000,"322,140.00",0.00
2304227 S,Affin Hwang Investment Bank,EUR,18-Apr-2018,01-Jun-2018,"260,000.00",1.2390,"(322,140.00)",1.2145,"(315,770.51)","6,369.49"
2304245 L,Affin Hwang Investment Bank,USD,18-Apr-2018,01-Jun-2018,"254,302.50",1.0000,"254,302.50",1.0000,"254,302.50",0.00
2304245 S,Affin Hwang Investment Bank,EUR,18-Apr-2018,01-Jun-2018,"205,000.00",1.2405,"(254,302.50)",1.2145,"(248,972.90)","5,329.60"
2311947 L,Affin Hwang Investment Bank,USD,27-Apr-2018,20-Jun-2018,"1,304,577.33",1.0000,"1,304,577.33",1.0000,"1,304,577.33",0.00
2311947 S,Affin Hwang Investment Bank,SGD,27-Apr-2018,20-Jun-2018,"1,730,000.00",0.7541,"(1,304,577.33)",0.7577,"(1,310,772.31)","(6,194.98)"
TOTAL,,,,,,,0.00,,"11,482.50","11,482.50"
"CounterpartyPlacementLocalPlacementPeriodMaturityRateMaturityInterest ToAccruedAccruedDay(s) ToMarket ValueMarket ValueDateCcyAmount(Days)Date(%)AmountMaturityInterestDaysMaturity(Local Ccy)(Base Ccy)(Local Ccy)(Local Ccy)(Local Ccy)(Base Ccy)",,,,,,,,,,,,,
"CASHMYR0.000.00",,,,,,,,,,,,,
EUR,,,,,,,,,,,,"245,788.93","297,227.88"
"USD348,029.38348,029.38",,,,,,,,,,,,,
HKD,,,,,,,,,,,,0.00,0.00
THB0.000.00,,,,,,,,,,,,,
SGD,,,,,,,,,,,,"6,162.04","4,649.18"
GBP0.000.00,,,,,,,,,,,,,
KRW,,,,,,,,,,,,0.00,0.00
"AUD11,351.008,560.43",,,,,,,,,,,,,
IDR,,,,,,,,,,,,0.00,0.00
CHF0.000.00,,,,,,,,,,,,,
CNH,,,,,,,,,,,,0.00,0.00
PHP0.000.00,,,,,,,,,,,,,
JPY,,,,,,,,,,,,0.00,0.00
"TOTAL CASH658,466.87",,,,,,,,,,,,,
Stock Security Description,,Nominal,Coupon,Maturity Date,Pur.,Avg. Cost,Cost,Book,Cumm.,YTM,Market,Market,Unrealised,Accrued Bond,Rating
Code,,,,,Yield,,,Value,Accr  Amort,,Price,Value,Gain/,Interest Rating,Agency
"",,,,,,,,,,,,,(Loss),,
CORPORATE BONDS & NOTES,,,,,,,,,,,,,,,
CHINA,,,,,,,,,,,,,,,
AL3710640 CNRC Capital Ltd 1.871%,,"200,000.00",1.87,07-Dec-2021,1.44 %,EUR101.50,"251,263.66 251,230.61",,(33.05),1.43 %,EUR101.53,"245,556.60","(5,674.02)","1,797.66 Baa2",MOODY
"(07.12.2021)",,,,,,,,,,,,,,,
AL6742863 Tewoo Group Finance No 2 Ltd,,"200,000.00",4.50,16-Dec-2019,4.25 %,USD100.40,"200,800.00 200,755.04",,(44.96),4.52 %,USD99.97,"199,940.00",(815.04),"3,375.00 BBB",FITCH
4.5% (16.12.2019),,,,,,,,,,,,,,,
AN0866912 Tewoo Group Finance No 3 Ltd,,"200,000.00",5.50,06-Apr-2022,4.41 %,USD104.67,"209,330.00 207,802.80",,"(1,527.20)",5.15 %,USD101.22,"202,440.00","(5,362.80)",763.89 BBB,FITCH
5.5% (06.04.2022),,,,,,,,,,,,,,,
AN8403643 Far East Horizon Ltd 4.35%,,"400,000.00",4.35,14-Jun-2049,4.35 %,USD100.00,"400,000.00 400,000.00",,0.00,4.59 %,USD96.11,"384,440.00","(15,560.00)","6,621.67",
"(Call: 14.06.2022)",,,,,,,,,,,,,,,
AO2618715 Longfor Properties Co Ltd,,"200,000.00",3.88,13-Jul-2022,3.90 %,USD99.88,"199,760.00 199,767.01",,7.01,4.69 %,USD96.93,"193,860.00","(5,907.01)","2,325.00 BBB",FITCH
3.875% (13.07.2022),,,,,,,,,,,,,,,
AO2963293 Enn Energy Holdings Ltd,,"500,000.00",3.25,24-Jul-2022,3.28 %,USD99.87,"499,335.00 499,414.01",,79.01,4.19 %,USD96.37,"481,850.00","(17,564.01)","4,378.47 Baa2",MOODY
3.25% (24.07.2022),,,,,,,,,,,,,,,
AO3442545 Chong Hing Bank Ltd 3.876%,,"400,000.00",3.88,26-Jul-2027,3.88 %,USD100.00,"400,000.00 400,000.00",,0.00,4.37 %,USD96.28,"385,120.00","(14,880.00)","4,091.33 BBB-",FITCH
"(Call: 26.07.2022)",,,,,,,,,,,,,,,
AO9861714 Weichai Int HK Energy Grp Co,,"450,000.00",3.75,14-Sep-2049,3.91 %,USD99.33,"447,000.00 447,189.37",,189.37,4.08 %,USD94.16,"423,720.00","(23,469.37)","2,203.13 BBB-",S&P
3.75% (Call: 14.09.2022),,,,,,,,,,,,,,,
AP1366677 Postal Savings Bk China Co,,"200,000.00",4.50,27-Sep-2049,4.73 %,USD98.80,"197,600.00 197,764.16",,164.16,4.76 %,USD94.90,"189,800.00","(7,964.16)","5,350.00 Ba3",MOODY
Ltd 4.5% (Call: 27.09.2022),,,,,,,,,,,,,,,
AQ0758146 Shenzhen International,,"400,000.00",3.95,29-Nov-2049,3.99 %,USD99.80,"399,200.00 399,256.35",,56.35,4.19 %,USD95.82,"383,280.00","(15,976.35)","6,671.12 Baa2",MOODY
Holding 3.95% (Call:,,,,,,,,,,,,,,,
29.11.2022),,,,,,,,,,,,,,,
EK0359175 Moon Wise Global Ltd 9.00%,,"400,000.00",9.00,28-Jan-2049,4.60 %,USD105.56,"422,250.00 412,633.00",,"(9,617.00)",5.06 %,USD102.83,"411,320.00","(1,313.00)","9,300.00",
"(Call: 28.01.2019)",,,,,,,,,,,,,,,
JV2490110 Bluestar Finance Holdings Ltd,,"600,000.00",4.38,17-Dec-2049,3.35 %,USD101.17,"607,000.00 603,756.75",,"(3,243.25)",4.21 %,USD100.10,"600,600.00","(3,156.75)","9,770.83 Baa2",MOODY
4.375% (Call: 17.12.2018),,,,,,,,,,,,,,,
UV8797580 Weichai Int HK Energy Grp Co,,"200,000.00",4.13,30-Sep-2020,3.81 %,USD100.72,"201,448.00 201,427.24",,(20.76),3.94 %,USD100.41,"200,820.00",(607.24),710.42 BBB,S&P
4.125% (30.09.2020),,,,,,,,,,,,,,,
TOTAL CHINA,,"4,350,000.00",,,,,"4,434,986.66 4,420,996.34",,"(13,990.32)",,,"4,302,746.60","(118,249.75)","57,358.52",
HONG KONG,,,,,,,,,,,,,,,
AL2762741 Dah Sing Bank Ltd 4.25%,,"400,000.00",4.25,30-Nov-2026,3.53 %,USD102.88,"411,524.00 409,622.77",,"(1,901.23)",4.33 %,USD99.41,"397,640.00","(11,982.77)","7,130.56 Baa2",MOODY
"(Call: 30.11.2021)",,,,,,,,,,,,,,,
AN5475594 CK Hutchison Capital Sec17,,"250,000.00",4.00,12-May-2049,4.00 %,USD100.00,"250,000.00 250,000.00",,0.00,4.14 %,USD97.57,"243,925.00","(6,075.00)","4,694.44 Baa1",MOODY
Ltd 4% (Call: 12.05.2022),,,,,,,,,,,,,,,
AN6294184 Sun Hung Kai Properties Cap,,"350,000.00",4.45,23-May-2049,4.45 %,USD100.00,"350,000.00 350,000.00",,0.00,5.25 %,USD87.78,"307,230.00","(42,770.00)","6,835.69 A1",MOODY
